datetime,client_name,supply_period,date,correct_hour,hour,weekday,wesm,kwh,kw
26/08/2023 0:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,0,1,5,5.410817467,433.182,433.182
26/08/2023 1:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,1,2,5,5.039228767,416.093,416.093
26/08/2023 2:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,2,3,5,4.553896917,414.557,414.557
26/08/2023 3:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,3,4,5,4.437268858,405.076,405.076
26/08/2023 4:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,4,5,5,4.332006475,439.397,439.397
26/08/2023 5:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,5,6,5,3.96239975,472.98,472.98
26/08/2023 6:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,6,7,5,2.654018917,470.929,470.929
26/08/2023 7:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,7,8,5,2.58019965,512.617,512.617
26/08/2023 8:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,8,9,5,3.097714683,544.483,544.483
26/08/2023 9:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,9,10,5,3.455661992,562.825,562.825
26/08/2023 10:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,10,11,5,3.725741267,577.854,577.854
26/08/2023 11:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,11,12,5,3.299916633,548.225,548.225
26/08/2023 12:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,12,13,5,2.761635617,566.979,566.979
26/08/2023 13:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,13,14,5,3.721522808,504.117,504.117
26/08/2023 14:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,14,15,5,2.973006542,516.114,516.114
26/08/2023 15:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,15,16,5,2.6170175,64.621,64.621
26/08/2023 16:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,16,17,5,2.645700633,0,0
26/08/2023 17:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,17,18,5,2.695593908,23.142,23.142
26/08/2023 18:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,18,19,5,2.749604325,113.904,113.904
26/08/2023 19:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,19,20,5,3.04386095,476.723,476.723
26/08/2023 20:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,20,21,5,3.971016133,407.958,407.958
26/08/2023 21:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,21,22,5,4.027590017,456.305,456.305
26/08/2023 22:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,22,23,5,3.60511115,447.653,447.653
26/08/2023 23:00,bounty_madera,30/09/2023 0:00,26/08/2023 0:00,23,24,5,3.356296942,455.45,455.45
27/08/2023 0:00,bounty_madera,30/09/2023 0:00,27/08/2023 0:00,0,1,6,3.667644442,431.947,431.947
