datetime,client_name,supply_period,date,correct_hour,hour,weekday,wesm,kwh,kw
2023-10-26 00:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,0,1,3,4.014980381333333,470.07,471.84000000000003
2023-10-26 01:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,1,2,3,3.3174165043333335,477.39,480.96
2023-10-26 02:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,2,3,3,3.2435795629999995,473.88,483.84000000000003
2023-10-26 03:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,3,4,3,2.83622248425,459.27,461.04
2023-10-26 04:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,4,5,3,3.32735689075,493.23,538.08
2023-10-26 05:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,5,6,3,3.4102694435000003,534.3,547.4399999999999
2023-10-26 06:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,6,7,3,2.0532140140833333,543.78,557.64
2023-10-26 07:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,7,8,3,2.96575326025,556.32,578.52
2023-10-26 08:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,8,9,3,3.1932264386666667,554.46,568.3199999999999
2023-10-26 09:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,9,10,3,3.8054340896666665,594.69,617.64
2023-10-26 10:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,10,11,3,4.187242474166667,591.42,612
2023-10-26 11:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,11,12,3,4.26548955425,576.5699999999999,584.88
2023-10-26 12:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,12,13,3,3.3712049538333333,539.28,556.92
2023-10-26 13:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,13,14,3,4.85110677175,553.74,583.4399999999999
2023-10-26 14:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,14,15,3,4.48630675075,571.89,591
2023-10-26 15:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,15,16,3,4.426555596833333,604.23,607.5600000000001
2023-10-26 16:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,16,17,3,4.605677436916666,628.32,635.4000000000001
2023-10-26 17:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,17,18,3,5.094962924666667,645.57,665.16
2023-10-26 18:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,18,19,3,4.803481072166666,564.06,590.64
2023-10-26 19:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,19,20,3,4.4740529360000005,549.84,551.76
2023-10-26 20:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,20,21,3,4.450045710833334,550.29,556.5600000000001
2023-10-26 21:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,21,22,3,7.405297837916667,560.55,572.28
2023-10-26 22:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,22,23,3,4.512083611,563.25,564.84
2023-10-26 23:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-26 00:00:00,23,24,3,4.376961306,562.8,572.28
2023-10-27 00:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,0,1,4,4.0073323875,562.23,563.4000000000001
2023-10-27 01:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,1,2,4,3.8953289475833337,575.4,583.92
2023-10-27 02:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,2,3,4,3.489997009666667,578.25,585.96
2023-10-27 03:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,3,4,4,3.2731688108333334,578.67,582
2023-10-27 04:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,4,5,4,3.5306251884166664,586.14,589.92
2023-10-27 05:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,5,6,4,3.510331269416666,577.05,580.6800000000001
2023-10-27 06:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,6,7,4,2.62738441325,579.51,588.48
2023-10-27 07:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,7,8,4,3.1659502688333334,567.09,574.8
2023-10-27 08:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,8,9,4,3.814910633833333,566.79,573.36
2023-10-27 09:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,9,10,4,3.2412828225833334,570.36,572.28
2023-10-27 10:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,10,11,4,3.1676252938333334,559.11,562.3199999999999
2023-10-27 11:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,11,12,4,3.6346152044999998,558.87,570.24
2023-10-27 12:00:00,digitaledge2,2023-11-30 00:00:00,2023-10-27 00:00:00,12,13,4,3.60586958325,557.67,563.64
