client_name,supply period,datetime,date,correct hour,hour,weekday,wesm,kwh
digitaledge2,2023-11-30,2023-10-26 00:00:00,2023-10-26,0,1,3,3.337600298,39.08
digitaledge2,2023-11-30,2023-10-26 00:05:00,2023-10-26,0,1,3,4.897380258,39.08
digitaledge2,2023-11-30,2023-10-26 00:10:00,2023-10-26,0,1,3,4.825614729,39.08
digitaledge2,2023-11-30,2023-10-26 00:15:00,2023-10-26,0,1,3,4.000234292,39
digitaledge2,2023-11-30,2023-10-26 00:20:00,2023-10-26,0,1,3,4.003251775,39
digitaledge2,2023-11-30,2023-10-26 00:25:00,2023-10-26,0,1,3,3.640804574,39
digitaledge2,2023-11-30,2023-10-26 00:30:00,2023-10-26,0,1,3,3.799456548,39.32
digitaledge2,2023-11-30,2023-10-26 00:35:00,2023-10-26,0,1,3,3.995380836,39.32
digitaledge2,2023-11-30,2023-10-26 00:40:00,2023-10-26,0,1,3,3.996032689,39.32
digitaledge2,2023-11-30,2023-10-26 00:45:00,2023-10-26,0,1,3,3.859673568,39.29
digitaledge2,2023-11-30,2023-10-26 00:50:00,2023-10-26,0,1,3,3.99230841,39.29
digitaledge2,2023-11-30,2023-10-26 00:55:00,2023-10-26,0,1,3,3.832026599,39.29
digitaledge2,2023-11-30,2023-10-26 01:00:00,2023-10-26,1,2,3,3.040999367,39.38
digitaledge2,2023-11-30,2023-10-26 01:05:00,2023-10-26,1,2,3,3.35073943,39.38
digitaledge2,2023-11-30,2023-10-26 01:10:00,2023-10-26,1,2,3,3.349837133,39.38
digitaledge2,2023-11-30,2023-10-26 01:15:00,2023-10-26,1,2,3,3.236321161,40.02
digitaledge2,2023-11-30,2023-10-26 01:20:00,2023-10-26,1,2,3,3.597188252,40.02
digitaledge2,2023-11-30,2023-10-26 01:25:00,2023-10-26,1,2,3,3.349819069,40.02
digitaledge2,2023-11-30,2023-10-26 01:30:00,2023-10-26,1,2,3,3.196800485,39.65
digitaledge2,2023-11-30,2023-10-26 01:35:00,2023-10-26,1,2,3,3.345374315,39.65
digitaledge2,2023-11-30,2023-10-26 01:40:00,2023-10-26,1,2,3,3.344873505,39.65
digitaledge2,2023-11-30,2023-10-26 01:45:00,2023-10-26,1,2,3,3.329460066,40.08
digitaledge2,2023-11-30,2023-10-26 01:50:00,2023-10-26,1,2,3,3.327978413,40.08
digitaledge2,2023-11-30,2023-10-26 01:55:00,2023-10-26,1,2,3,3.339606856,40.08
digitaledge2,2023-11-30,2023-10-26 02:00:00,2023-10-26,2,3,3,3.215157095,40.32
